Sector,Count,Date
Consumer Discretionary,84,2026-03-11
Consumer Staples,34,2026-03-11
Energy,32,2026-03-11
Financials,68,2026-03-11
Health Care,61,2026-03-11
Industrials,67,2026-03-11
Information Technology,70,2026-03-11
Materials,25,2026-03-11
Real Estate,33,2026-03-11
Telecommunication Services,3,2026-03-11
Utilities,28,2026-03-11
